,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_marks,average_marks
854,male,group C,some high school,standard,none,62,64,55,181,60.333333333333336
855,female,group B,bachelor's degree,standard,none,97,97,96,290,96.66666666666667
856,male,group B,some college,free/reduced,none,75,68,65,208,69.33333333333333
857,female,group C,bachelor's degree,standard,none,65,79,81,225,75.0
858,male,group B,high school,standard,completed,52,49,46,147,49.0
859,male,group C,associate's degree,free/reduced,none,87,73,72,232,77.33333333333333
860,female,group C,associate's degree,standard,none,53,62,53,168,56.0
861,female,group E,master's degree,free/reduced,none,81,86,87,254,84.66666666666667
862,male,group D,bachelor's degree,free/reduced,completed,39,42,38,119,39.666666666666664
863,female,group C,some college,standard,completed,71,71,80,222,74.0
864,male,group C,associate's degree,standard,none,97,93,91,281,93.66666666666667
865,male,group D,some college,standard,completed,82,82,88,252,84.0
866,male,group C,high school,free/reduced,none,59,53,52,164,54.666666666666664
867,male,group B,associate's degree,standard,none,61,42,41,144,48.0
868,male,group E,associate's degree,free/reduced,completed,78,74,72,224,74.66666666666667
869,male,group C,associate's degree,free/reduced,none,49,51,51,151,50.333333333333336
870,male,group B,high school,standard,none,59,58,47,164,54.666666666666664
871,female,group C,some college,standard,completed,70,72,76,218,72.66666666666667
872,male,group B,associate's degree,standard,completed,82,84,78,244,81.33333333333333
873,male,group E,associate's degree,free/reduced,none,90,90,82,262,87.33333333333333
874,female,group C,bachelor's degree,free/reduced,none,43,62,61,166,55.333333333333336
875,male,group C,some college,free/reduced,none,80,64,66,210,70.0
876,male,group D,some college,standard,none,81,82,84,247,82.33333333333333
877,male,group C,some high school,standard,none,57,61,54,172,57.333333333333336
878,female,group D,some high school,standard,none,59,72,80,211,70.33333333333333
879,female,group D,associate's degree,standard,none,64,76,74,214,71.33333333333333
880,male,group C,bachelor's degree,standard,completed,63,64,66,193,64.33333333333333
881,female,group E,bachelor's degree,standard,completed,71,70,70,211,70.33333333333333
882,female,group B,high school,free/reduced,none,64,73,71,208,69.33333333333333
883,male,group D,bachelor's degree,free/reduced,none,55,46,44,145,48.333333333333336
884,female,group E,associate's degree,standard,none,51,51,54,156,52.0
885,female,group C,associate's degree,standard,completed,62,76,80,218,72.66666666666667
886,female,group E,associate's degree,standard,completed,93,100,95,288,96.0
887,male,group C,high school,free/reduced,none,54,72,59,185,61.666666666666664
888,female,group D,some college,free/reduced,none,69,65,74,208,69.33333333333333
889,male,group D,high school,free/reduced,none,44,51,48,143,47.666666666666664
890,female,group E,some college,standard,completed,86,85,91,262,87.33333333333333
891,female,group E,associate's degree,standard,none,85,92,85,262,87.33333333333333
892,female,group A,master's degree,free/reduced,none,50,67,73,190,63.333333333333336
893,male,group D,some high school,standard,completed,88,74,75,237,79.0
894,female,group E,associate's degree,standard,none,59,62,69,190,63.333333333333336
895,female,group E,some high school,free/reduced,none,32,34,38,104,34.666666666666664
896,male,group B,high school,free/reduced,none,36,29,27,92,30.666666666666668
897,female,group B,some high school,free/reduced,completed,63,78,79,220,73.33333333333333
898,male,group D,associate's degree,standard,completed,67,54,63,184,61.333333333333336
899,female,group D,some high school,standard,completed,65,78,82,225,75.0
900,male,group D,master's degree,standard,none,85,84,89,258,86.0
901,female,group C,master's degree,standard,none,73,78,74,225,75.0
902,female,group A,high school,free/reduced,completed,34,48,41,123,41.0
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100,293,97.66666666666667
904,female,group D,some high school,free/reduced,none,67,84,84,235,78.33333333333333
905,male,group D,some college,standard,none,88,77,77,242,80.66666666666667
906,male,group B,high school,standard,none,57,48,51,156,52.0
907,female,group D,some college,standard,completed,79,84,91,254,84.66666666666667
908,female,group C,bachelor's degree,free/reduced,none,67,75,72,214,71.33333333333333
909,male,group E,bachelor's degree,standard,completed,70,64,70,204,68.0
910,male,group D,bachelor's degree,free/reduced,none,50,42,48,140,46.666666666666664
911,female,group A,some college,standard,none,69,84,82,235,78.33333333333333
912,female,group C,bachelor's degree,standard,completed,52,61,66,179,59.666666666666664
913,female,group C,bachelor's degree,free/reduced,completed,47,62,66,175,58.333333333333336
914,female,group B,associate's degree,free/reduced,none,46,61,55,162,54.0
915,female,group E,some college,standard,none,68,70,66,204,68.0
916,male,group E,bachelor's degree,standard,completed,100,100,100,300,100.0
917,female,group C,high school,standard,none,44,61,52,157,52.333333333333336
918,female,group C,associate's degree,standard,completed,57,77,80,214,71.33333333333333
919,male,group B,some college,standard,completed,91,96,91,278,92.66666666666667
920,male,group D,high school,free/reduced,none,69,70,67,206,68.66666666666667
921,female,group C,high school,free/reduced,none,35,53,46,134,44.666666666666664
922,male,group D,high school,standard,none,72,66,66,204,68.0
923,female,group B,associate's degree,free/reduced,none,54,65,65,184,61.333333333333336
924,male,group D,high school,free/reduced,none,74,70,69,213,71.0
925,male,group E,some high school,standard,completed,74,64,60,198,66.0
926,male,group E,associate's degree,free/reduced,none,64,56,52,172,57.333333333333336
927,female,group D,high school,free/reduced,completed,65,61,71,197,65.66666666666667
928,male,group E,associate's degree,free/reduced,completed,46,43,44,133,44.333333333333336
929,female,group C,some high school,free/reduced,none,48,56,51,155,51.666666666666664
930,male,group C,some college,free/reduced,completed,67,74,70,211,70.33333333333333
931,male,group D,some college,free/reduced,none,62,57,62,181,60.333333333333336
932,male,group D,associate's degree,free/reduced,completed,61,71,73,205,68.33333333333333
933,male,group C,bachelor's degree,free/reduced,completed,70,75,74,219,73.0
934,male,group C,associate's degree,standard,completed,98,87,90,275,91.66666666666667
935,male,group D,some college,free/reduced,none,70,63,58,191,63.666666666666664
936,male,group A,associate's degree,standard,none,67,57,53,177,59.0
937,female,group E,high school,free/reduced,none,57,58,57,172,57.333333333333336
938,male,group D,some college,standard,completed,85,81,85,251,83.66666666666667
939,male,group D,some high school,standard,completed,77,68,69,214,71.33333333333333
940,male,group C,master's degree,free/reduced,completed,72,66,72,210,70.0
941,female,group D,master's degree,standard,none,78,91,96,265,88.33333333333333
942,male,group C,high school,standard,none,81,66,64,211,70.33333333333333
943,male,group A,some high school,free/reduced,completed,61,62,61,184,61.333333333333336
944,female,group B,high school,standard,none,58,68,61,187,62.333333333333336
945,female,group C,associate's degree,standard,none,54,61,58,173,57.666666666666664
946,male,group B,high school,standard,none,82,82,80,244,81.33333333333333
947,female,group D,some college,free/reduced,none,49,58,60,167,55.666666666666664
948,male,group B,some high school,free/reduced,completed,49,50,52,151,50.333333333333336
949,female,group E,high school,free/reduced,completed,57,75,73,205,68.33333333333333
950,male,group E,high school,standard,none,94,73,71,238,79.33333333333333
951,female,group D,some college,standard,completed,75,77,83,235,78.33333333333333
952,female,group E,some high school,free/reduced,none,74,74,72,220,73.33333333333333
953,male,group C,high school,standard,completed,58,52,54,164,54.666666666666664
954,female,group C,some college,standard,none,62,69,69,200,66.66666666666667
955,male,group E,associate's degree,standard,none,72,57,62,191,63.666666666666664
956,male,group C,some college,standard,none,84,87,81,252,84.0
957,female,group D,master's degree,standard,none,92,100,100,292,97.33333333333333
958,female,group D,high school,standard,none,45,63,59,167,55.666666666666664
959,male,group C,high school,standard,none,75,81,71,227,75.66666666666667
960,female,group A,some college,standard,none,56,58,64,178,59.333333333333336
961,female,group D,some high school,free/reduced,none,48,54,53,155,51.666666666666664
962,female,group E,associate's degree,standard,none,100,100,100,300,100.0
963,female,group C,some high school,free/reduced,completed,65,76,75,216,72.0
964,male,group D,some college,standard,none,72,57,58,187,62.333333333333336
965,female,group D,some college,standard,none,62,70,72,204,68.0
966,male,group A,some high school,standard,completed,66,68,64,198,66.0
967,male,group C,some college,standard,none,63,63,60,186,62.0
968,female,group E,associate's degree,standard,none,68,76,67,211,70.33333333333333
969,female,group B,bachelor's degree,standard,none,75,84,80,239,79.66666666666667
970,female,group D,bachelor's degree,standard,none,89,100,100,289,96.33333333333333
971,male,group C,some high school,standard,completed,78,72,69,219,73.0
972,female,group A,high school,free/reduced,completed,53,50,60,163,54.333333333333336
973,female,group D,some college,free/reduced,none,49,65,61,175,58.333333333333336
974,female,group A,some college,standard,none,54,63,67,184,61.333333333333336
975,female,group C,some college,standard,completed,64,82,77,223,74.33333333333333
976,male,group B,some college,free/reduced,completed,60,62,60,182,60.666666666666664
977,male,group C,associate's degree,standard,none,62,65,58,185,61.666666666666664
978,male,group D,high school,standard,completed,55,41,48,144,48.0
979,female,group C,associate's degree,standard,none,91,95,94,280,93.33333333333333
980,female,group B,high school,free/reduced,none,8,24,23,55,18.333333333333332
981,male,group D,some high school,standard,none,81,78,78,237,79.0
982,male,group B,some high school,standard,completed,79,85,86,250,83.33333333333333
983,female,group A,some college,standard,completed,78,87,91,256,85.33333333333333
984,female,group C,some high school,standard,none,74,75,82,231,77.0
985,male,group A,high school,standard,none,57,51,54,162,54.0
986,female,group C,associate's degree,standard,none,40,59,51,150,50.0
987,male,group E,some high school,standard,completed,81,75,76,232,77.33333333333333
988,female,group A,some high school,free/reduced,none,44,45,45,134,44.666666666666664
989,female,group D,some college,free/reduced,completed,67,86,83,236,78.66666666666667
990,male,group E,high school,free/reduced,completed,86,81,75,242,80.66666666666667
991,female,group B,some high school,standard,completed,65,82,78,225,75.0
992,female,group D,associate's degree,free/reduced,none,55,76,76,207,69.0
993,female,group D,bachelor's degree,free/reduced,none,62,72,74,208,69.33333333333333
994,male,group A,high school,standard,none,63,63,62,188,62.666666666666664
995,female,group E,master's degree,standard,completed,88,99,95,282,94.0
996,male,group C,high school,free/reduced,none,62,55,55,172,57.333333333333336
997,female,group C,high school,free/reduced,completed,59,71,65,195,65.0
998,female,group D,some college,standard,completed,68,78,77,223,74.33333333333333
999,female,group D,some college,free/reduced,none,77,86,86,249,83.0
